2016-03-29 20:12:57,109 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:12:57,115 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
2016-03-29 20:12:59,113 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:12:59,118 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 20:12:59,120 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:12:59,127 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
2016-03-29 20:14:11,614 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:14:11,622 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 20:14:11,624 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:14:11,632 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
2016-03-29 20:15:25,923 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:15:25,931 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 20:15:25,933 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:15:25,938 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
2016-03-29 20:21:58,925 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:21:58,932 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 20:21:58,933 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:21:58,938 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
2016-03-29 20:24:56,204 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:24:56,211 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 20:24:56,215 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 20:24:56,219 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
